ID,STREET,CITY,COUNTRY
2135,ul. Lipowa 63,Gdańsk,Polska
6960,ul. Wesoła 71,Lublin,Polska
2829,ul. Krótka 9,Warszawa,Polska
4302,ul. Zamkowa 78,Radom,Polska
2163,ul. Słoneczna 59,Poznań,Polska
3723,ul. Zielona 76,Białystok,Polska
8259,ul. Polna 15,Wrocław,Polska
2466,ul. Główna 19,Gdynia,Polska
1058,ul. Krótka 97,Katowice,Polska
7322,ul. Tęczowa 91,Rzeszów,Polska
1120,ul. Tęczowa 56,Katowice,Polska
1084,ul. Krótka 50,Katowice,Polska
3751,ul. Spacerowa 3,Rzeszów,Polska
7320,ul. Wiosenna 98,Kielce,Polska
6041,ul. Piękna 24,Białystok,Polska
3329,ul. Piękna 28,Łódź,Polska
2350,ul. Główna 19,Kraków,Polska
1350,ul. Spacerowa 23,Kielce,Polska
7829,ul. Leśna 53,Radom,Polska
3858,ul. Tęczowa 56,Sosnowiec,Polska
6168,ul. Spacerowa 84,Warszawa,Polska
3023,ul. Topolowa 7,Kraków,Polska
8724,ul. Polna 18,Kielce,Polska
5754,ul. Cicha 17,Katowice,Polska
1206,ul. Leśna 94,Kraków,Polska
4147,ul. Szkolna 82,Gdynia,Polska
6524,ul. Leśna 64,Zabrze,Polska
3612,ul. Jasna 16,Zabrze,Polska
5588,ul. Długa 75,Warszawa,Polska
5910,ul. Słoneczna 19,Gliwice,Polska
9331,ul. Wiosenna 52,Gliwice,Polska
4680,ul. Zielona 70,Katowice,Polska
2570,ul. Krótka 91,Sosnowiec,Polska
4919,ul. Główna 42,Łódź,Polska
1132,Ul. xd,Xd,Xd
3943,Ul. rew,Rew,Rew
3485,Ul. rew,Rew,Rew
7332,Ul. ytr,Wer,Qwe
281,Ul. erw,Rwe,Rew
6632,ul. Spacerowa 57,Zabrze,Polska
1259,ul. Kwiatowa 53,Radom,Polska
7099,ul. Zamkowa 42,Wrocław,Polska
3569,ul. Długa 21,Radom,Polska
6377,ul. Zamkowa 77,Poznań,Polska
2028,ul. Krótka 40,Warszawa,Polska
1169,ul. Główna 17,Lublin,Polska
6227,ul. Topolowa 68,Poznań,Polska
4343,ul. Długa 48,Katowice,Polska
6875,ul. Długa 61,Częstochowa,Polska
8610,Ul. eqw,Ewq,Ewq
1205,Ul. ewq,Rew,Ewr
