ID,USER_NAME,NAME,SURNAME,E-MAIL,PHONE,CREATED,UPDATED,DATE_OF_BIRTH,AGE,GENDER,PASSWORD
6054,jan98,Jan,Zieliński,jan.zieliński@example.com,314-430-456,28.05.2025,28.05.2025,05.04.2002,23,Mężczyzna,b@5144
2135,magdalena26,Magdalena,Kaczmarek,magdalena.kaczmarek@example.com,878-814-565,28.05.2025,28.05.2025,08.08.1967,57,Mężczyzna,z@5189
6960,krzysztof33,Krzysztof,Lewandowski,krzysztof.lewandowski@example.com,552-339-563,28.05.2025,28.05.2025,02.08.1969,55,Kobieta,z@8392
2829,magdalena35,Magdalena,Kwiatkowski,magdalena.kwiatkowski@example.com,245-802-643,28.05.2025,28.05.2025,12.08.1998,26,Kobieta,z@3173
2746,monika50,Monika,Lewandowski,monika.lewandowski@example.com,157-925-276,28.05.2025,28.05.2025,06.09.1966,58,Kobieta,b@5590
4302,michał81,Michał,Krawczyk,michał.krawczyk@example.com,487-825-926,28.05.2025,28.05.2025,25.06.2001,23,Kobieta,y@7947
2163,agnieszka66,Agnieszka,Kowalczyk,agnieszka.kowalczyk@example.com,543-449-677,28.05.2025,28.05.2025,05.09.1991,33,Mężczyzna,z@8474
9033,joanna30,Joanna,Kamiński,joanna.kamiński@example.com,120-981-873,28.05.2025,28.05.2025,17.06.1987,37,Mężczyzna,x@4236
8604,marek40,Marek,Kowalczyk,marek.kowalczyk@example.com,409-930-545,28.05.2025,28.05.2025,21.02.1969,56,Mężczyzna,c@4148
9030,ewa19,Ewa,Piotrowski,ewa.piotrowski@example.com,384-891-787,28.05.2025,28.05.2025,22.01.1985,40,Kobieta,b@5990
3723,agnieszka53,Agnieszka,Kowalczyk,agnieszka.kowalczyk@example.com,695-875-117,28.05.2025,28.05.2025,17.02.1965,60,Kobieta,b@1611
8259,wojciech10,Wojciech,Wiśniewski,wojciech.wiśniewski@example.com,483-455-607,28.05.2025,28.05.2025,23.03.1966,59,Kobieta,y@7216
2466,agnieszka30,Agnieszka,Kamiński,agnieszka.kamiński@example.com,342-642-144,28.05.2025,28.05.2025,10.10.1971,53,Kobieta,b@9978
1058,maria79,Maria,Wojciechowski,maria.wojciechowski@example.com,183-558-818,28.05.2025,28.05.2025,11.11.1973,51,Kobieta,z@7382
7322,monika42,Monika,Dąbrowski,monika.dąbrowski@example.com,182-729-360,28.05.2025,28.05.2025,27.10.1991,33,Mężczyzna,b@6272
1120,jan80,Jan,Zieliński,jan.zieliński@example.com,992-537-787,28.05.2025,28.05.2025,02.09.1979,45,Kobieta,a@2514
1084,jakub61,Jakub,Grabowski,jakub.grabowski@example.com,699-253-701,28.05.2025,28.05.2025,19.10.1993,31,Kobieta,x@1858
3751,magdalena26,Magdalena,Wojciechowski,magdalena.wojciechowski@example.com,930-353-987,28.05.2025,28.05.2025,15.11.1974,50,Kobieta,z@1909
7320,piotr51,Piotr,Zieliński,piotr.zieliński@example.com,786-689-633,28.05.2025,28.05.2025,03.03.1966,59,Mężczyzna,x@9314
6041,anna32,Anna,Jankowski,anna.jankowski@example.com,382-879-967,28.05.2025,28.05.2025,10.09.1965,60,Mężczyzna,b@7377
3329,paweł47,Paweł,Kaczmarek,paweł.kaczmarek@example.com,160-325-722,28.05.2025,28.05.2025,17.05.1976,49,Kobieta,c@3220
2350,adam12,Adam,Nowak,adam.nowak@example.com,556-704-643,28.05.2025,28.05.2025,20.04.1961,64,Kobieta,y@2539
1350,michał61,Michał,Krawczyk,michał.krawczyk@example.com,266-750-126,28.05.2025,28.05.2025,11.11.1989,36,Mężczyzna,y@8683
7829,agnieszka27,Agnieszka,Wojciechowski,agnieszka.wojciechowski@example.com,537-727-355,28.05.2025,28.05.2025,06.02.2000,25,Kobieta,b@1773
3858,katarzyna88,Katarzyna,Kwiatkowski,katarzyna.kwiatkowski@example.com,683-264-123,28.05.2025,28.05.2025,28.11.1977,48,Kobieta,z@4970
6168,monika83,Monika,Woźniak,monika.woźniak@example.com,892-654-429,28.05.2025,28.05.2025,11.11.2002,23,Mężczyzna,y@4113
3023,zuzanna89,Zuzanna,Mazur,zuzanna.mazur@example.com,453-496-873,28.05.2025,28.05.2025,04.03.1983,42,Kobieta,a@7063
8724,ewa98,Ewa,Dąbrowski,ewa.dąbrowski@example.com,644-327-194,28.05.2025,28.05.2025,01.01.1964,61,Mężczyzna,z@7936
5754,jan18,Jan,Wójcik,jan.wójcik@example.com,584-905-588,28.05.2025,28.05.2025,05.05.1989,36,Kobieta,b@1285
1206,agnieszka29,Agnieszka,Kozłowski,agnieszka.kozłowski@example.com,376-951-892,28.05.2025,28.05.2025,18.06.1996,29,Kobieta,c@3057
4147,ewa40,Ewa,Wiśniewski,ewa.wiśniewski@example.com,183-104-999,28.05.2025,28.05.2025,12.09.1980,45,Kobieta,a@2244
6524,julia18,Julia,Kamiński,julia.kamiński@example.com,525-393-663,28.05.2025,28.05.2025,07.03.1983,42,Kobieta,b@9362
3612,jakub56,Jakub,Piotrowski,jakub.piotrowski@example.com,642-802-926,28.05.2025,28.05.2025,18.08.2005,20,Mężczyzna,a@9523
5588,jakub13,Jakub,Wojciechowski,jakub.wojciechowski@example.com,243-613-555,28.05.2025,28.05.2025,10.07.1960,65,Kobieta,x@3222
5910,michał43,Michał,Kwiatkowski,michał.kwiatkowski@example.com,293-286-800,28.05.2025,28.05.2025,17.09.1987,38,Mężczyzna,a@8144
